"","study","sample","experiment","run","ftp"
"1658","SRP079058","SRS1575741","SRX1966185","SRR3936893","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936893/SRR3936893.sra"
"1659","SRP079058","SRS1576714","SRX1967154","SRR3937862","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937862/SRR3937862.sra"
"1660","SRP079058","SRS1576108","SRX1966553","SRR3937261","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937261/SRR3937261.sra"
"1661","SRP079058","SRS1576721","SRX1967164","SRR3937872","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937872/SRR3937872.sra"
"1662","SRP079058","SRS1573930","SRX1964374","SRR3935082","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935082/SRR3935082.sra"
"1663","SRP079058","SRS1575742","SRX1966186","SRR3936894","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936894/SRR3936894.sra"
"1664","SRP079058","SRS1576384","SRX1966828","SRR3937536","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937536/SRR3937536.sra"
"1665","SRP079058","SRS1576381","SRX1966825","SRR3937533","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937533/SRR3937533.sra"
"1666","SRP079058","SRS1573915","SRX1964359","SRR3935067","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935067/SRR3935067.sra"
"1667","SRP079058","SRS1575611","SRX1966054","SRR3936762","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936762/SRR3936762.sra"
"1668","SRP079058","SRS1576168","SRX1966612","SRR3937320","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937320/SRR3937320.sra"
"1669","SRP079058","SRS1575803","SRX1966246","SRR3936954","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936954/SRR3936954.sra"
"1670","SRP079058","SRS1576090","SRX1966534","SRR3937242","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937242/SRR3937242.sra"
"1671","SRP079058","SRS1575958","SRX1966403","SRR3937111","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937111/SRR3937111.sra"
"1672","SRP079058","SRS1576465","SRX1966907","SRR3937615","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937615/SRR3937615.sra"
"1673","SRP079058","SRS1576179","SRX1966621","SRR3937329","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937329/SRR3937329.sra"
"1674","SRP079058","SRS1575276","SRX1965718","SRR3936426","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936426/SRR3936426.sra"
"1675","SRP079058","SRS1576722","SRX1967165","SRR3937873","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937873/SRR3937873.sra"
"1676","SRP079058","SRS1575283","SRX1965727","SRR3936435","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936435/SRR3936435.sra"
"1677","SRP079058","SRS1575636","SRX1966081","SRR3936789","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936789/SRR3936789.sra"
"1678","SRP079058","SRS1575638","SRX1966082","SRR3936790","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936790/SRR3936790.sra"
"1679","SRP079058","SRS1573556","SRX1964000","SRR3934708","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934708/SRR3934708.sra"
"1680","SRP079058","SRS1573555","SRX1963999","SRR3934707","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934707/SRR3934707.sra"
"1681","SRP079058","SRS1574798","SRX1965242","SRR3935950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935950/SRR3935950.sra"
"1682","SRP079058","SRS1575177","SRX1965621","SRR3936329","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936329/SRR3936329.sra"
"1683","SRP079058","SRS1573360","SRX1963804","SRR3934512","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934512/SRR3934512.sra"
"1684","SRP079058","SRS1574448","SRX1964892","SRR3935600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935600/SRR3935600.sra"
"1685","SRP079058","SRS1575515","SRX1965957","SRR3936665","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936665/SRR3936665.sra"
"1686","SRP079058","SRS1575516","SRX1965958","SRR3936666","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936666/SRR3936666.sra"
"1687","SRP079058","SRS1573971","SRX1964416","SRR3935124","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935124/SRR3935124.sra"
"1688","SRP079058","SRS1575050","SRX1965494","SRR3936202","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936202/SRR3936202.sra"
"1689","SRP079058","SRS1576522","SRX1966964","SRR3937672","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937672/SRR3937672.sra"
"1690","SRP079058","SRS1576147","SRX1966591","SRR3937299","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937299/SRR3937299.sra"
"1691","SRP079058","SRS1576763","SRX1967206","SRR3937914","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937914/SRR3937914.sra"
"1692","SRP079058","SRS1573476","SRX1963920","SRR3934628","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934628/SRR3934628.sra"
"1693","SRP079058","SRS1576750","SRX1967193","SRR3937901","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937901/SRR3937901.sra"
"1694","SRP079058","SRS1576755","SRX1967198","SRR3937906","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937906/SRR3937906.sra"
"1695","SRP079058","SRS1574575","SRX1965020","SRR3935728","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935728/SRR3935728.sra"
"1696","SRP079058","SRS1576758","SRX1967201","SRR3937909","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937909/SRR3937909.sra"
"1697","SRP079058","SRS1574576","SRX1965019","SRR3935727","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935727/SRR3935727.sra"
"1698","SRP079058","SRS1574580","SRX1965024","SRR3935732","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935732/SRR3935732.sra"
"1699","SRP079058","SRS1574574","SRX1965018","SRR3935726","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935726/SRR3935726.sra"
"1700","SRP079058","SRS1574568","SRX1965012","SRR3935720","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935720/SRR3935720.sra"
"1701","SRP079058","SRS1573988","SRX1964433","SRR3935141","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935141/SRR3935141.sra"
"1702","SRP079058","SRS1576165","SRX1966609","SRR3937317","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937317/SRR3937317.sra"
"1703","SRP079058","SRS1573986","SRX1964431","SRR3935139","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935139/SRR3935139.sra"
"1704","SRP079058","SRS1576164","SRX1966607","SRR3937315","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937315/SRR3937315.sra"
"1705","SRP079058","SRS1573456","SRX1963900","SRR3934608","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934608/SRR3934608.sra"
"1706","SRP079058","SRS1574452","SRX1964897","SRR3935605","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935605/SRR3935605.sra"
"1707","SRP079058","SRS1573991","SRX1964435","SRR3935143","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935143/SRR3935143.sra"
"1708","SRP079058","SRS1576683","SRX1967125","SRR3937833","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937833/SRR3937833.sra"
"1709","SRP079058","SRS1573895","SRX1964340","SRR3935048","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935048/SRR3935048.sra"
"1710","SRP079058","SRS1575068","SRX1965512","SRR3936220","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936220/SRR3936220.sra"
"1711","SRP079058","SRS1574119","SRX1964564","SRR3935272","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935272/SRR3935272.sra"
"1712","SRP079058","SRS1575066","SRX1965510","SRR3936218","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936218/SRR3936218.sra"
"1713","SRP079058","SRS1574286","SRX1964730","SRR3935438","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935438/SRR3935438.sra"
"1714","SRP079058","SRS1574946","SRX1965389","SRR3936097","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936097/SRR3936097.sra"
"1715","SRP079058","SRS1574943","SRX1965388","SRR3936096","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936096/SRR3936096.sra"
"1716","SRP079058","SRS1574945","SRX1965390","SRR3936098","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936098/SRR3936098.sra"
"1717","SRP079058","SRS1576772","SRX1967215","SRR3937923","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937923/SRR3937923.sra"
"1718","SRP079058","SRS1574941","SRX1965385","SRR3936093","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936093/SRR3936093.sra"
